kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 137 : 24576 124389 0 0 0 0 0 0 1791 
_1.ptx 136 : 24576 198453 0 0 0 0 0 0 0 
_1.ptx 135 : 24576 247897 0 0 0 0 0 0 0 
_1.ptx 134 : 24576 247530 0 0 0 0 0 0 0 
_1.ptx 131 : 7692 85109 0 0 0 0 0 0 0 
_1.ptx 130 : 7692 355271 0 0 0 4471 3143 0 0 
_1.ptx 129 : 7692 390733 0 0 0 4471 3143 0 0 
_1.ptx 128 : 7692 185600 32 0 0 3143 3143 0 0 
_1.ptx 127 : 7692 260806 0 0 0 0 0 0 0 
_1.ptx 126 : 7692 46527 0 0 0 0 0 0 0 
_1.ptx 124 : 7692 335484 0 0 0 7602 3143 0 0 
_1.ptx 123 : 7692 84972 0 0 0 0 0 0 0 
_1.ptx 122 : 7692 46613 0 0 0 0 0 0 0 
_1.ptx 120 : 7692 256925 4384 0 0 7602 3143 0 0 
_1.ptx 119 : 7692 85012 0 0 0 0 0 0 0 
_1.ptx 118 : 7692 77737 0 0 0 0 0 0 0 
_1.ptx 87 : 4096 22720 32 0 0 550 550 0 0 
_1.ptx 86 : 4096 45329 0 0 0 0 0 0 0 
_1.ptx 85 : 4096 24698 0 0 0 0 0 0 0 
_1.ptx 84 : 4096 16612 0 0 0 0 0 0 0 
_1.ptx 82 : 4096 22465 0 0 0 550 550 0 0 
_1.ptx 81 : 4096 25072 0 0 0 0 0 0 0 
_1.ptx 79 : 32768 174115 0 0 0 0 0 0 550 
_1.ptx 78 : 32768 263680 0 0 0 0 0 0 0 
_1.ptx 77 : 32768 197760 0 0 0 0 0 0 0 
_1.ptx 76 : 32768 5339520 4096 0 0 1024 1024 0 0 
_1.ptx 89 : 4096 17775 0 0 0 0 0 0 0 
_1.ptx 66 : 32768 196864 0 0 0 0 0 0 0 
_1.ptx 113 : 7692 110664 0 0 0 0 0 0 0 
_1.ptx 67 : 32768 437824 0 0 0 0 0 0 0 
_1.ptx 114 : 7692 78054 0 0 0 0 0 0 0 
_1.ptx 68 : 32768 199552 0 0 0 0 0 0 0 
_1.ptx 115 : 7692 85106 0 0 0 0 0 0 0 
_1.ptx 69 : 32768 364544 0 0 0 0 0 0 0 
_1.ptx 116 : 7692 753678 128 0 0 3143 3143 0 0 
_1.ptx 70 : 32768 1155520 128 0 0 0 0 0 0 
_1.ptx 117 : 7692 77601 0 0 0 0 0 0 0 
_1.ptx 71 : 32768 268192 0 0 0 0 0 0 0 
_1.ptx 141 : 32768 197568 0 0 0 0 0 0 0 
_1.ptx 94 : 4096 48488 0 0 0 943 550 0 0 
_1.ptx 72 : 32768 0 0 0 0 0 0 0 0 
_1.ptx 73 : 32768 238208 0 0 0 0 0 0 0 
_1.ptx 74 : 32768 99136 0 0 0 0 0 0 0 
_1.ptx 75 : 32768 363520 0 0 0 0 0 0 0 
_1.ptx 90 : 4096 42042 0 0 0 0 0 0 0 
_1.ptx 91 : 4096 45473 0 0 0 0 0 0 0 
_1.ptx 92 : 4096 1149883 32768 0 0 943 550 0 0 
_1.ptx 93 : 4096 28875 0 0 0 0 0 0 0 
_1.ptx 95 : 4096 45171 0 0 0 0 0 0 0 
_1.ptx 96 : 4096 32912 0 0 0 0 0 0 0 
_1.ptx 97 : 4096 0 0 0 0 0 0 0 0 
_1.ptx 98 : 4096 64815 0 0 0 0 0 0 0 
_1.ptx 99 : 4096 28827 0 0 0 0 0 0 0 
_1.ptx 100 : 4096 41291 0 0 0 0 0 0 0 
_1.ptx 101 : 4096 45276 0 0 0 0 0 0 0 
_1.ptx 105 : 24576 3080981 98304 0 0 14768 4670 0 0 
_1.ptx 106 : 24576 173985 0 0 0 0 0 0 0 
_1.ptx 107 : 24576 271168 0 0 0 0 0 0 0 
_1.ptx 108 : 24576 1686238 3968 0 0 23723 4670 0 0 
_1.ptx 109 : 24576 148703 0 0 0 0 0 0 0 
_1.ptx 110 : 24576 197881 0 0 0 0 0 0 0 
_1.ptx 111 : 24576 102400 0 0 0 0 0 0 1950 
